ClmId,Mbr,Npi,State,Zip,Date,Proc,Dx,Pos,Reas,TotChg,Action
391E887552,774-70-0853,1305446424,NJ,07112,3/12/2019,9054,01214,22,PPJB,6534.95,RePend
110J413553,126-45-0683,4037352771,VA,22244,12/11/2019,8571,65323,20,PPOW,8713.84,RePend
618C817618,392-34-5339,6762426019,PA,19151,6/1/2019,5186,95210,17,PVIP,5837.81,RePend
155K308208,834-17-7927,0830776260,FL,34479,3/18/2019,6552,0512,72,PVIP,6965.48,RePend
592A683295,392-48-8407,8992617945,IN,46239,8/2/2019,3781,85140,22,PDOK,9890.83,Deny
881Y198906,323-24-3423,7366311305,AZ,85072,8/3/2019,7731,20215,17,PVIP,9449.07,Deny
166L180506,282-65-2921,9148852080,CT,06140,8/24/2019,9626,E8058,23,PCOB,6378.77,Deny
470N446899,884-51-6095,8391290563,VA,23289,10/27/2019,8000,81600,12,PDOC,1893.17,RePend
464A143170,386-62-9772,0170016650,CA,92805,11/26/2019,8399,80611,52,PDOC,6654.97,Deny
067H867218,790-42-0009,2352728145,AK,99507,10/18/2019,3327,0721,17,PCOB,2867.53,MedRev
766N889857,617-34-2929,7769115265,CA,91505,6/6/2019,2102,E9231,52,PDOC,7196.65,RePend
111D690353,202-43-1923,1064291635,AL,36689,1/4/2019,806,01351,17,PM5R,6089.54,RePend
084T133732,137-82-1645,5635065736,CO,80161,1/6/2019,4291,E8145,31,PDLB,4843.26,RePend
641Z070258,814-18-5368,2550210606,PA,19146,3/2/2019,8789,30089,20,PPOW,3634.23,MedRev
095Y147418,841-91-6687,8775791297,NV,89714,7/17/2019,7795,99959,31,PDOC,1701.04,RePend
429G336983,731-03-6212,5685250151,WV,26505,7/9/2019,2279,01755,11,PDUP,261.53,RePend
700U980658,669-04-7124,9367170341,OH,44197,2/23/2019,132,36863,17,PM5R,2957.67,MedRev
495R131412,509-73-2877,6499815084,NC,28215,3/5/2019,7611,37021,22,PDUP,284.42,RePend
296W517206,857-90-0502,1755951098,IA,52245,4/23/2019,3796,2728,12,PPOW,8464.23,RePend
059X407094,497-68-5408,6355098628,FL,32830,5/25/2019,5251,V015,12,PPJB,5889.63,Release
686W491789,134-62-7160,7953844618,GA,30358,7/22/2019,6382,3482,11,PDOK,4081.59,MedRev
266F806234,132-55-3084,6692957279,FL,33487,12/23/2019,4640,65263,72,PVIP,3088.46,MedRev
370L126927,629-78-0753,4897107055,CA,94177,9/30/2019,9091,52571,65,PPOW,9473.65,Release
672I301536,814-68-7553,3101096027,VA,24034,3/6/2019,4221,82341,52,PDUP,6921.69,MedRev
801C451066,503-93-8725,6473665541,AK,99790,5/14/2019,184,V4575,52,PPJB,9799.35,Release
170Z138298,603-22-7443,0002413372,IN,47937,1/22/2019,9531,E9328,65,PPOW,522.11,Release
174J752889,749-96-2319,2374981486,NY,11241,7/1/2019,6019,01114,20,PVIP,1188.74,RePend
900C010706,500-64-6507,9094855164,CA,93005,12/27/2019,9384,65213,23,PPJB,2457.75,Deny
549D282243,499-84-6160,0145489381,ID,83206,8/2/2019,3500,4789,65,PDLB,9235.31,MedRev
885E612239,429-60-7056,6868363655,IA,50362,7/22/2019,3772,6169,20,PVIP,2830.44,RePend
917H924284,840-23-4888,7763076349,TX,79710,4/12/2019,9705,71918,52,PPOW,991.84,Release
568H108779,344-65-7373,2578638932,FL,34102,3/8/2019,3867,71174,23,PPOW,4824.93,RePend
950P365950,455-47-3719,4179194514,IL,62525,2/2/2019,1689,E8160,17,PDUP,4410.48,Release
986H690158,248-61-0984,1879821003,CA,94544,3/17/2019,1191,0841,72,PPJB,9080.5,RePend
027V048510,681-45-2715,9961246466,AZ,85010,3/20/2019,8294,01740,31,PCOB,6970.23,Deny
244G538536,619-90-3669,9195393918,VA,22070,7/15/2019,4195,36132,22,PAUT,9799.71,Release
771M784403,234-51-8011,2773540430,NY,14619,3/27/2019,5785,7761,81,PPOW,844.56,Release
702O779171,142-38-6727,6680544269,NV,89519,12/3/2019,0741,2371,52,PVIP,848.68,Release
882Q924005,514-47-0027,2455385942,NE,68105,1/23/2019,5634,E8323,65,PDOK,9205.46,Release
146C588087,106-17-1573,2078830392,GA,31410,5/16/2019,1921,E9353,81,PPJB,6251.49,RePend
131R342371,163-78-6480,6204264581,MN,55551,9/24/2019,8775,30275,11,PPJB,8832.56,Deny
886G377457,293-83-8229,0071404448,OR,97240,3/24/2019,0132,71820,11,PVIP,4258.69,Release
263T106845,444-44-2489,3547711231,MS,39505,3/26/2019,7491,64963,72,PDLB,1517.56,Deny
578B816126,309-01-9130,1095012210,CA,90040,11/23/2019,7538,75654,65,PDOC,2762.78,RePend
979U589813,586-47-8920,6275801566,MO,64149,6/23/2019,8535,37220,20,PDUP,5458.14,RePend
969Z567514,802-25-6324,5187327173,DC,20299,1/11/2019,3511,41000,22,PAUT,6021.05,Release
669H900983,206-33-5073,9321002690,NY,10474,12/22/2019,251,37263,12,PDLB,9915.21,RePend
497O607652,410-25-9522,5248360735,NC,28805,9/25/2019,5199,20042,81,PDOC,594.15,MedRev
459K510978,413-39-0349,6123336919,NE,68510,9/19/2019,1286,37821,17,PM5R,1905.17,RePend
590P443766,672-32-6108,0976400163,NY,10009,7/19/2019,8897,01655,81,PDLB,8662.1,Release
275O254433,562-07-5067,7653060965,TX,78245,11/18/2019,7029,67422,22,PPOW,371.41,RePend
135Z274189,731-45-7050,1431781346,NV,89505,3/9/2019,8955,9159,81,PAUT,5370.31,Release
551W904180,453-26-6116,0446284489,IL,61605,3/3/2019,6697,V193,31,PDOK,6771.53,RePend
771T492529,667-42-4749,1863617646,TX,78296,4/3/2019,8828,33943,52,PCOB,2569.39,Deny
174S132840,243-71-3533,6463947816,VA,23242,11/19/2019,9509,30748,23,PDUP,2893.58,RePend
316B593111,473-59-7383,4882186757,OH,43635,4/4/2019,9733,84502,11,PDOC,6484.9,Deny
314Q498333,568-25-2254,4477685034,NY,11215,4/28/2019,9722,94312,23,PVIP,3534.02,Deny
231A886345,165-50-6182,6818969608,TX,88558,11/30/2019,0444,37743,11,PM5R,3945.52,RePend
090X160135,567-72-7237,2339199944,IA,50936,11/7/2019,0511,65693,11,PCOB,9616.02,MedRev
183T588738,820-41-0346,6666865183,TX,75037,12/26/2019,8303,V556,22,PPOW,1026.21,Release
578S542941,449-34-5316,0447256784,CA,93721,3/5/2019,9125,66994,81,PDOC,537.1,RePend
935I253261,800-60-7006,4689446079,ND,58505,5/8/2019,4106,94526,17,PAUT,6546.58,Deny
428N522589,308-72-8399,8107694249,DC,20591,7/22/2019,8777,59789,81,PCOB,5498.98,Deny
142U924814,502-30-6731,5782343055,OR,97296,11/9/2019,3551,V812,22,PVIP,3312.02,RePend
782K708842,754-59-0125,7831906156,CA,92056,8/17/2019,8397,75656,52,PVIP,6204.41,RePend
700Y131646,464-65-1085,0500598999,MS,39282,7/19/2019,8723,75530,17,PPJB,2568.99,Deny
657N876437,590-34-3639,4546719705,DC,20022,4/9/2019,6015,9135,81,PDOK,3178.69,MedRev
830U935599,813-57-2397,1568386479,NY,11024,8/16/2019,8587,V782,81,PVIP,8896.06,RePend
596F339541,165-90-1568,0186081384,NC,28235,7/5/2019,8362,0940,65,PPJB,4801.34,MedRev
028R692973,680-89-4912,8298984022,TX,88525,4/2/2019,8848,76061,23,PDLB,7808.4,Release
175U510039,189-16-8527,7169234714,FL,34985,5/28/2019,4834,1518,23,PM5R,9313.95,MedRev
428B742943,454-18-4243,2331829834,AZ,85255,12/15/2019,8967,V5972,52,PDOC,8505.29,Release
503S711931,850-70-1991,9814458968,IA,50936,10/30/2019,1641,E9409,31,PDOC,4348.49,MedRev
493J649342,127-10-7262,5060008887,LA,71166,11/5/2019,4835,79412,52,PM5R,6265.28,Release
285W510934,730-10-6312,2403338774,AZ,85748,4/4/2019,835,E8051,65,PVIP,101.94,RePend
644B427952,550-27-5702,7113786861,VA,22212,8/4/2019,8721,7627,20,PDOC,5358.38,Release
677T392731,172-06-1868,0499227666,AR,72222,11/3/2019,8714,7389,11,PPJB,3937.18,MedRev
620X479246,408-20-4842,8794429703,OH,43268,2/12/2019,9364,37132,12,PDLB,6452.16,MedRev
496M481479,366-37-6884,0338994106,SC,29610,4/13/2019,7923,7355,65,PDLB,1531.17,MedRev
136F810396,662-87-7524,4335382049,LA,71130,8/17/2019,1689,5260,52,PPOW,3543.99,MedRev
995G986797,259-92-4250,6849718416,CA,94154,7/23/2019,3999,94254,22,PPJB,5680.63,MedRev
400B554648,345-86-2021,8843005597,VA,22096,7/12/2019,3378,2443,11,PCOB,6210.12,Deny
403K205359,515-80-6469,9923861231,TX,75221,12/9/2019,8165,53510,17,PDOC,7425.44,RePend
875G905853,818-07-0191,8183140032,CA,90005,2/4/2019,9196,73079,31,PDOK,809.65,Release
887Q831579,564-53-1469,6918717502,TX,78285,10/14/2019,3808,8438,52,PAUT,558.47,Release
217I397113,348-82-4151,3157717315,TX,77554,10/27/2019,9942,9301,65,PPOW,8041.7,Deny
061K846280,464-01-3478,3018344113,OH,45426,4/8/2019,8059,V063,52,PCOB,3460.27,RePend
942F448667,275-99-4814,2057564186,FL,33185,2/28/2019,4512,1361,65,PCOB,4000.71,RePend
184W843102,696-45-2337,5653346572,MD,20851,1/18/2019,7987,3089,22,PDOC,878.79,Release
887I801376,630-08-2638,1560494343,CT,06816,4/16/2019,8882,42841,12,PAUT,2435.44,Release
286F503205,322-28-7962,9625115970,CA,94286,8/1/2019,4651,V5832,17,PCOB,1991.91,Release
972C235077,729-21-2432,4221848025,TX,78250,2/23/2019,184,30112,11,PPOW,6950.64,MedRev
468Y534255,468-32-8866,1164739081,WI,53210,9/28/2019,7252,34560,81,PPJB,9522.25,Deny
541O468188,588-30-2484,8593018654,TX,76705,12/12/2019,3796,36803,23,PDLB,4745.53,Release
075F187527,408-46-1098,9247666815,FL,33175,1/31/2019,7179,E8542,31,PDUP,2703.18,RePend
680E880686,111-60-8841,1745838686,OK,73142,10/27/2019,1529,72191,11,PDOK,4458.74,MedRev
807J874473,199-26-3901,1486627710,DC,20535,11/24/2019,3563,99687,52,PPJB,8808.65,Deny
651H589628,283-64-8459,4262735384,FL,32808,8/31/2019,3226,65691,31,PDUP,1554.41,Release
693T363058,492-28-0912,0870548298,WV,25775,9/20/2019,0862,24221,65,PM5R,2704.23,MedRev
830G692758,611-14-2910,7049745398,NY,11044,11/13/2019,3148,E8620,23,PPJB,4878.73,MedRev
865V563263,229-37-5043,3682168726,CA,94237,3/22/2019,8481,32089,23,PM5R,6952.54,MedRev
440C735099,235-30-5398,6434595722,AL,36119,4/22/2019,8133,96900,52,PAUT,4582.48,Release
811S286321,456-51-8626,8972161534,OH,45208,4/20/2019,8194,47826,11,PDOC,4146.67,MedRev
024A801648,864-93-7690,6397536583,CO,80925,5/4/2019,585,28268,12,PDOC,5944.98,Deny
744B437105,885-98-4722,7966432292,MN,55123,2/19/2019,9461,5204,12,PPJB,2353.12,RePend
759Y096975,781-77-3108,1961469520,TX,79452,1/4/2019,260,3071,20,PCOB,410.34,Release
046L637052,553-54-6111,3632418042,IN,46634,4/17/2019,9305,V1309,23,PAUT,6356.91,Release
477G763902,880-40-6826,1911065636,CA,93407,9/24/2019,7974,V7388,65,PDLB,3379.99,MedRev
449B346985,455-27-3133,7202638280,TX,79415,3/17/2019,9713,07950,52,PDLB,305.32,MedRev
618B970147,108-86-5491,2312923957,PA,15220,1/19/2019,9341,01226,22,PPOW,6823.75,MedRev
903E182770,811-06-6713,3884746015,DC,20591,12/17/2019,6389,V8538,72,PM5R,1407.84,MedRev
164K262432,629-88-6784,9785804655,KS,66215,10/15/2019,7905,920,22,PAUT,4134.28,MedRev
955Z775326,146-56-3360,9231626554,CA,90405,2/13/2019,9154,92232,20,PDUP,937.96,Deny
628V566949,826-29-3720,6159757106,LA,70805,12/19/2019,0768,48811,22,PDOC,4885.66,RePend
123K312654,780-18-6944,9716969554,OK,74156,8/25/2019,0476,64244,17,PAUT,9393.92,Release
612C673939,172-77-4624,1911315570,TX,88563,12/22/2019,8594,7765,52,PCOB,5401.74,Deny
686R911227,162-95-9845,6700403495,FL,33064,12/27/2019,3752,78091,12,PDOK,752.42,Deny
799Q126232,111-37-3425,5862522199,ID,83732,3/1/2019,8040,V1020,11,PVIP,8880.15,Release
302J520831,230-57-2545,5574738958,UT,84199,4/27/2019,5369,65261,22,PDLB,6841.78,Deny
304X180474,387-88-7623,1131707757,ID,83711,9/10/2019,2161,V417,52,PDOC,258.75,Deny
754Y955725,372-34-6964,8208818934,NY,10115,12/27/2019,0751,65680,52,PPJB,7118.48,Deny
165X058030,499-51-3599,0358438352,HI,96840,12/23/2019,7055,94896,11,PDUP,3517.1,Release
945L944689,129-84-9396,3897324268,AL,36605,9/12/2019,8005,74346,22,PDOC,3400.99,Deny
594X173509,799-13-2398,9051269976,TX,77276,10/12/2019,9231,09484,65,PAUT,6171.14,MedRev
142N265978,717-05-7988,4765609888,MA,02162,1/26/2019,754,E8744,12,PDUP,6505.31,MedRev
016R893300,158-44-2906,4366184382,IN,46852,9/20/2019,8121,63492,65,PPJB,9177.03,RePend
508C695947,758-58-8609,5882409271,FL,33345,2/24/2019,8834,65641,72,PPJB,1015.49,Deny
595C331522,801-66-6444,9429784392,AZ,85743,9/16/2019,3800,E8413,11,PDOK,1787.79,RePend
891C851310,320-17-2794,3472869623,FL,34643,7/3/2019,8035,94151,22,PPJB,9094.45,Deny
511N046258,437-38-6383,7176219595,MN,55448,1/15/2019,8452,E9831,17,PAUT,7888.81,RePend
242Y434184,141-82-7342,5422675222,TX,88574,6/9/2019,4525,73005,23,PAUT,9862.33,MedRev
092T549144,609-16-4586,0137734056,WV,25775,10/31/2019,3201,17340,20,PPOW,7729.09,RePend
426F154110,884-24-0720,3126339831,KS,67205,12/2/2019,1033,94133,52,PDLB,1507.62,MedRev
498K604673,635-69-6901,2991671259,CA,94089,6/22/2019,6949,33922,81,PDOC,9740.7,RePend
746B731503,126-55-2213,1586574800,TX,75277,5/19/2019,9645,01086,23,PVIP,9147.57,Release
091O465882,371-43-0055,2176013593,VA,23471,10/10/2019,4563,64791,31,PDLB,4665.46,RePend
830M804492,852-31-4526,3563346995,NY,10270,4/13/2019,4829,1458,17,PCOB,9700.73,Release
384G395449,733-02-2868,8205730294,SC,29505,6/21/2019,0601,3301,17,PVIP,6980.99,Deny
151X553666,341-98-5306,9546874113,AZ,85083,5/18/2019,1253,73025,65,PM5R,8321.03,Deny
543L794936,252-29-1172,7629348897,CO,80305,1/2/2019,9199,80396,65,PVIP,7456.91,Deny
266O767838,124-34-4138,5684112351,TX,75265,7/20/2019,4875,8974,20,PDOK,6272.25,Release
116S723096,611-76-6876,6157364029,IL,60641,2/6/2019,9605,37681,22,PPOW,7118.26,Release
545U866065,475-88-0555,4505352385,NC,28235,11/2/2019,7859,1873,31,PDOC,1601.24,Release
439F192280,350-46-3562,9412857728,DC,20392,5/20/2019,2094,20966,31,PCOB,286.42,MedRev
065H871193,416-78-6170,2972845220,FL,33742,7/10/2019,0014,82533,12,PDOK,5451.23,RePend
439J370829,780-17-0446,2323917346,TX,77245,1/14/2019,2724,65450,12,PPJB,8225.85,RePend
441H406478,876-16-7208,2617703059,TX,76598,3/9/2019,5375,83113,81,PAUT,3582.47,RePend
129L793884,166-20-3570,5758701617,PA,19115,3/20/2019,0201,20007,11,PDOK,456.88,Release
512D231120,271-69-9755,9542968526,IA,52804,7/4/2019,3815,64252,22,PAUT,3740.44,Deny
872I365029,279-43-9002,7788570703,TX,77505,1/28/2019,0601,9747,72,PCOB,5255.95,Deny
473A654656,742-19-4112,0038472281,CA,94154,1/17/2019,8022,81231,17,PDOK,9664.14,RePend
310X504821,126-67-7192,7873355308,GA,30311,11/4/2019,9173,66091,11,PDOC,238.55,Deny
297T497133,122-74-6681,5772786298,MN,55598,12/5/2019,4641,20125,22,PDOK,6474.14,RePend
008X655768,192-71-3066,1019804910,WV,25709,6/18/2019,4263,73013,31,PM5R,4788.25,Deny
552Z100591,483-57-3414,6567027250,WA,98516,5/3/2019,8550,65630,65,PAUT,2974.62,MedRev
695U654854,773-59-9833,8400198405,TX,88584,8/20/2019,8053,63440,31,PVIP,3607.6,Release
189P037025,144-88-0981,7245746989,MI,48335,8/18/2019,5842,4612,12,PPJB,8540.25,MedRev
391J045021,120-55-2725,2137974837,CA,91520,9/20/2019,9305,0855,31,PDOC,6157.09,Deny
265G582152,494-21-0229,9635911820,IN,47812,4/20/2019,7931,80619,17,PVIP,2498.02,Release
018N790251,698-44-9529,5152053475,OH,44310,12/4/2019,7716,30722,52,PPOW,3403.64,Deny
532L897764,883-62-3244,8980584756,GA,31405,7/4/2019,8493,83669,22,PPJB,3280.84,Release
016W073973,102-24-9977,6511926626,TX,77276,2/13/2019,3617,66584,11,PDOC,7099.45,Release
844G598130,898-22-6056,2848665950,CA,95173,3/5/2019,9753,V7211,52,PPOW,5786.02,MedRev
992G954077,584-55-4324,3052633075,VA,22119,6/21/2019,3991,36816,20,PVIP,3581.11,RePend
529Y551951,271-45-6969,7156769858,ID,83757,6/9/2019,9724,27700,11,PDLB,8544.52,RePend
692D413566,581-15-4459,7327056117,OR,97271,1/8/2019,8408,2366,12,PAUT,4966.63,Release
177V961655,305-79-0198,1485537405,TX,76110,8/4/2019,8087,9039,52,PVIP,168.45,MedRev
424D889773,307-39-0453,8358127619,FL,33686,4/19/2019,0309,V532,12,PPJB,1870.03,RePend
538R177869,224-43-1261,3314364328,DC,20268,6/21/2019,1411,53019,12,PDOK,2949.66,Deny
064D492414,211-29-3167,4861957217,FL,33487,6/21/2019,7646,E8261,52,PDOK,8493.04,MedRev
721X080890,434-29-7669,9193130311,TX,75216,11/21/2019,7855,7488,20,PDOK,7156.22,Release
029S328158,355-07-1499,6052434077,CA,92805,9/5/2019,8664,33701,17,PDLB,5015.19,MedRev
151J898984,883-81-5906,5315646763,UT,84093,6/22/2019,7915,7511,22,PDOC,378.19,MedRev
771Q462517,738-79-7683,8220211336,CA,92662,9/16/2019,9427,59789,81,PDUP,2046.68,MedRev
606Y460540,480-91-2488,4201183775,UT,84125,10/14/2019,8543,37733,81,PAUT,3038.61,Release
709B052638,515-18-5835,9256071926,PA,17140,1/13/2019,8919,E9909,65,PDLB,6203.96,Deny
495V022429,845-92-8487,2784786312,FL,33961,1/18/2019,5159,3532,12,PDOK,2907.99,Deny
843H380876,645-73-5531,7243923103,OH,44105,9/26/2019,8897,73095,72,PPOW,6233.91,RePend
681B110782,572-79-1805,5598088709,DC,20442,12/6/2019,9464,9163,72,PDLB,3512.32,Deny
106D563979,329-34-8232,6036693114,FL,33147,4/4/2019,605,32381,52,PDOK,5670.19,Release
447F954190,405-89-1955,1118213191,MA,01654,9/10/2019,9671,99709,72,PPJB,6724.83,MedRev
654F905219,485-86-8320,6963956652,KY,40205,4/3/2019,3323,82533,65,PPJB,3576.74,Release
456P353751,758-13-8495,8232772469,GA,30375,5/22/2019,1252,74312,31,PVIP,1608.07,Deny
699Y433110,849-84-0394,7908952341,WI,54305,10/21/2019,8953,52460,65,PPJB,9252.72,MedRev
634H512371,288-82-5345,3775641269,DC,20525,10/15/2019,9049,9055,23,PDLB,7663.62,Deny
577Q984946,150-08-9112,3297975252,IL,61110,11/30/2019,9927,V9109,65,PAUT,3816.95,RePend
211T508639,101-74-8846,6037149839,OR,97255,5/27/2019,0952,01164,17,PAUT,806.13,MedRev
395P893859,120-99-0778,6412117372,NM,87121,4/8/2019,8707,74921,20,PDOK,4560.99,MedRev
597N294810,274-11-5043,8053496028,NC,28263,5/31/2019,5022,94114,17,PDOK,3495.4,RePend
021M432388,881-22-3339,5077027245,AL,35236,10/9/2019,7790,V7285,65,PDUP,1500.92,Deny
217W479501,121-07-9265,7029664173,FL,33731,5/17/2019,8595,52451,72,PDLB,7933.3,Deny
230S685025,444-97-1512,2976617845,OH,45249,4/11/2019,8909,01326,52,PDOC,9723.45,Release
566U338641,121-65-9386,5127560677,AL,35242,3/29/2019,7752,6272,11,PCOB,5853.55,Deny
236B869914,764-51-3795,2872239847,PA,19605,9/17/2019,9169,9990,81,PPJB,7216.77,RePend
808P727134,659-53-0115,7399168664,CA,90805,10/29/2019,9095,86112,72,PCOB,9409.36,Release
165Z055204,703-16-5534,4168442108,TX,79452,3/5/2019,4543,67194,31,PPOW,662.53,Deny
996M066054,483-32-7639,9331530975,SC,29579,9/1/2019,8074,77083,81,PAUT,4316.25,Release
985Y136191,475-30-1956,8154571334,TX,79955,3/14/2019,9639,05821,81,PAUT,461.45,MedRev
707N581000,710-76-6143,8017886024,CA,90060,4/24/2019,4526,80391,81,PDOC,9142.05,Release
238O656327,777-82-7644,4418520245,MN,55188,5/1/2019,3732,9192,12,PM5R,2831.23,RePend
416Q855901,208-46-8274,5521206256,FL,34620,12/9/2019,4063,9052,20,PDUP,6080.23,Release
163R717457,661-32-3719,5475376562,DC,20535,3/28/2019,8765,0931,22,PCOB,5604.58,RePend
013H165600,261-20-3789,7792097380,PA,19178,6/20/2019,4671,44289,11,PPJB,3119.87,MedRev
402P036865,637-11-0881,0917999070,FL,34290,7/26/2019,3249,01360,23,PCOB,6264.0,Release
145Y405021,811-65-5742,7942393645,GA,30323,11/24/2019,5019,0812,22,PDLB,8420.07,Release
431H769892,409-01-7237,3547889196,FL,33610,8/6/2019,9133,81401,11,PVIP,9502.42,RePend
330S337327,647-16-1056,9980071655,VA,23324,5/18/2019,1769,01183,11,PDUP,6178.11,Deny
610Y350684,517-11-2452,7203414268,VA,23225,9/3/2019,6373,V143,23,PM5R,7791.98,MedRev
630S999794,552-35-7521,2210185111,OH,44720,3/21/2019,3831,01503,17,PDUP,1732.6,MedRev
448R545594,888-29-2850,3523913476,CA,90045,8/1/2019,7718,29681,17,PPOW,4530.29,Deny
177K636391,100-70-0693,9562158205,CA,92415,5/2/2019,2172,7014,20,PDOC,5476.6,RePend
858Q208190,864-93-5332,0759279461,TN,37250,3/20/2019,3835,5276,31,PM5R,2443.45,Release
140G442507,271-14-2594,5512585860,TX,78754,12/21/2019,8662,9058,72,PDUP,1049.75,MedRev
873P214569,336-41-5352,0343477357,MI,48550,3/23/2019,4311,36253,81,PDOC,4589.34,Deny
174R792842,223-06-6231,7833869253,NY,14263,4/17/2019,8803,01194,81,PPJB,4364.67,RePend
206G370286,165-40-9187,5147903170,CA,92513,7/9/2019,3949,V623,65,PDOK,2775.14,MedRev
331W673449,387-97-1225,4649543966,WA,98008,5/15/2019,5674,92619,72,PVIP,2137.05,Release
184X188032,594-48-6294,3161450920,IL,60691,12/15/2019,744,01513,20,PPJB,6406.21,Release
783M495093,615-21-5322,6990390596,MT,59105,6/17/2019,7927,2102,72,PDLB,7373.2,MedRev
751C879670,873-88-5073,6252228076,NC,28815,5/25/2019,8349,7212,12,PDOK,5592.43,Deny
524G414389,622-35-3877,4686454859,KS,66225,1/9/2019,9466,38421,31,PDOC,1925.69,Deny
426U780137,864-29-9196,8462674435,OK,74108,6/11/2019,1211,71956,31,PPOW,9509.73,Release
100O256786,653-03-5524,7108694582,AL,36195,5/29/2019,8773,67131,52,PDOC,4643.89,MedRev
065A431791,165-65-6221,8963987011,TX,77065,4/24/2019,8906,9067,11,PDLB,5001.27,Release
652U161104,592-08-5816,2679503135,WA,98042,5/14/2019,7867,9910,52,PVIP,4558.91,RePend
521B272319,841-59-2478,2194924374,AZ,85297,8/25/2019,3551,E8387,11,PDOC,6062.17,Release
809W086549,867-59-0435,5476966729,NY,10019,6/6/2019,4701,0308,12,PDLB,9832.66,RePend
789K801031,443-19-4584,9309463107,MN,55436,10/25/2019,3852,95892,81,PCOB,6983.47,Release
216X083419,527-37-0809,4100737628,LA,71213,4/10/2019,9908,4111,65,PM5R,2339.9,RePend
386H258429,558-59-1837,8260988615,SD,57110,7/15/2019,8387,71225,65,PPOW,3686.0,Release
872J128625,686-47-0154,0113775010,CA,90076,7/21/2019,9714,55200,17,PDOK,120.0,Deny
087O536299,371-21-7988,5580886646,IN,47905,9/19/2019,9455,E9675,65,PDOK,4317.25,Deny
890C137569,554-74-3990,3163606680,LA,70179,5/30/2019,7941,71874,65,PDOC,9715.66,RePend
034C209379,435-01-4546,3499993896,AK,99512,4/23/2019,8693,36052,20,PCOB,5390.65,Release
261L461358,624-64-1153,3170772699,MA,02203,1/5/2019,7908,73005,52,PPJB,5560.21,Deny
867A666788,851-92-1744,4978190159,CA,93381,10/1/2019,4952,V175,17,PDLB,7289.18,RePend
